[2024-02-02 21:54:16,264: INFO:main: Welcome to custom log]
[2024-02-02 21:55:49,029: INFO:main: Welcome to custom log]
[2024-02-05 14:55:07,770: INFO:common: yaml file: config\config.yaml loaded successfully]
[2024-02-05 14:55:50,482: INFO:common: yaml file: config\config.yaml loaded successfully]
[2024-02-05 14:55:50,490: INFO:common: yaml file: params.yaml loaded successfully]
[2024-02-05 14:56:24,273: INFO:common: yaml file: config\config.yaml loaded successfully]
[2024-02-05 14:56:24,277: INFO:common: yaml file: params.yaml loaded successfully]
[2024-02-05 14:56:41,670: INFO:common: yaml file: config\config.yaml loaded successfully]
[2024-02-05 14:56:41,672: INFO:common: yaml file: params.yaml loaded successfully]
[2024-02-05 14:57:07,439: INFO:common: yaml file: config\config.yaml loaded successfully]
[2024-02-05 14:57:07,441: INFO:common: yaml file: params.yaml loaded successfully]
[2024-02-05 14:57:18,708: INFO:common: yaml file: config\config.yaml loaded successfully]
[2024-02-05 14:57:18,710: INFO:common: yaml file: params.yaml loaded successfully]
[2024-02-05 14:57:55,206: INFO:common: yaml file: config\config.yaml loaded successfully]
[2024-02-05 14:57:55,211: INFO:common: yaml file: params.yaml loaded successfully]
[2024-02-05 14:57:55,213: INFO:common: created directory at: artifacts]
[2024-02-05 14:58:08,458: INFO:common: yaml file: config\config.yaml loaded successfully]
[2024-02-05 14:58:08,461: INFO:common: yaml file: params.yaml loaded successfully]
[2024-02-05 14:58:08,463: INFO:common: created directory at: artifacts]
[2024-02-05 14:58:08,466: INFO:common: created directory at: artifacts/data_ingestion]
[2024-02-05 14:58:08,468: INFO:986331348: Downloading data from https://drive.google.com/file/d/1i8bQBoA-2cR7gYav_A5VRECEF7m0pXVo/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-05 14:58:14,219: INFO:986331348: Downloaded data from https://drive.google.com/file/d/1i8bQBoA-2cR7gYav_A5VRECEF7m0pXVo/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-05 15:49:39,945: INFO:main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-05 15:49:39,947: INFO:common: yaml file: config\config.yaml loaded successfully]
[2024-02-05 15:49:39,947: INFO:common: yaml file: params.yaml loaded successfully]
[2024-02-05 15:49:39,948: INFO:common: created directory at: artifacts]
[2024-02-05 15:49:39,948: INFO:common: created directory at: artifacts/data_ingestion]
[2024-02-05 15:49:39,949: INFO:data_ingestion: Downloading data from https://drive.google.com/file/d/1i8bQBoA-2cR7gYav_A5VRECEF7m0pXVo/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-05 15:49:45,368: INFO:data_ingestion: Downloaded data from https://drive.google.com/file/d/1i8bQBoA-2cR7gYav_A5VRECEF7m0pXVo/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-05 15:49:46,200: INFO:main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
